# this is a list of levels that i checked out during testing

[(0, 'sweethome'),
 (2, '20'),
 (2, '9'),
 (2, '219'),
 (2, '218'),
 (2, '214'),
 (2, '213'),
 (2, '212'),
 (2, '211'),
 (2, '356'),
 (2, '357'),
 (2, '354'),
 (2, '355'),
 (2, '353'),
 (2, '351'),
 (2, '359'),
 (2, '230'),
 (2, '331'),
 (2, '99'),
 (2, '176'),
 (2, '90'),
 (2, '91'),
 (2, '96'),
 (2, '97'),
 (2, '170'),
 (2, '171'),
 (2, '74'),
 (2, '75'),
 (2, '71'),
 (2, '73'),
 (2, '79'),
 (2, '316'),
 (2, '314'),
 (2, '267'),
 (2, '264'),
 (2, '265'),
 (2, '262'),
 (2, '260'),
 (2, '385'),
 (2, '384'),
 (2, '381'),
 (2, '380'),
 (2, '383'),
 (2, '382'),
 (2, '189'),
 (2, '188'),
 (2, '187'),
 (2, '185'),
 (2, '183'),
 (2, '182'),
 (2, '180'),
 (2, '139'),
 (3, '162'),
 (3, '166'),
 (3, '274'),
 (3, '371'),
 (3, '284'),
 (3, '281'),
 (3, '123'),
 (3, '116'),
 (3, 'beee'),
 (3, '202'),
 (3, '365'),
 (3, '294'),
 (3, '352'),
 (3, '179'),
 (4, '343'),
 (4, '407'),
 (4, '161'),
 (4, '41'),
 (4, '279'),
 (4, '273'),
 (4, '125'),
 (4, '241'),
 (4, '248'),
 (4, '362'),
 (4, '291'),
 (4, '89'),
 (4, '64'),
 (4, '190'),
 (4, '250'),
 (4, '217'),
 (4, '358'),
 (4, '306'),
 (4, '70'),

 (4, 'blueskiesabove'),
 (4, '310'),
 (5, '341'),
 (5, '40'),
 (5, '83'),
 (5, '290'),
 (5, '13'),
 (6, '158'),
 (6, '239'),
 (6, '58'),
 (6, '368'),
 (6, 'R'),
 (7, 'nogardia'),
 (7, '300'),
 (7, '114'),
 (7, '77'),
 (7, 'q346nb53q6'),
 (7, '---'),
 (8, '251'),
 (8, '78'),
 (9, '59'),
 (10, '223'),
 (12, '115'),
 (14, '165'),
 (17, '370'),
 (20, '82'),
 (25, '95'),
 (30, '112'),
 (30, '350'),
 (31, '154'),
 (33, '39'),
 (36, '394'),
 (38, '280'),
 (42, '66'),
 (43, '107'),
 (53, '126'),
 (54, '198'),
 (54, '76'),
 (68, '295'),
 (72, '296'),
 (77, '311'),
 (88, '318'),
 (90, '272'),
 (94, '369'),
 (94, '216'),
 (96, '48'),
 (97, '42'),
 (99, '130'),
 (103, '204'),
 (113, '84'),
 (114, '327'),
 (117, '340'),
 (118, '332'),


 (120, 'ken'),
 (122, '333'),
 (125, '195'),
 (139, '220'),
 (144, '363'),
*(147, 'hello'),
 (148, '246'),
 (159, '320'),
 (160, '388'),
 (165, '288'),
 (170, '403'),
 (187, '144'),
*(201, 'jail'),
 (208, '177'),
 (233, '54'),
 (234, '400'),
 (244, '261'),
 (249, '335'),
 (258, '215'),
 (260, '193'),
*(269, 'goji_temple'), <- crash (NoneType object has no attribute Drag
 (345, '229'),
 (345, '386'),
 (357, '289'),
 (370, '124'),
 (374, '86'),
 (396, '210'),
 (402, '113'),
 (443, '390'),
 (451, '110'),
 (455, '242'),
 (477, '379'),
 (502, '92'),
 (510, '85'),
 (510, '145'),
 (517, '208'),
 (518, '111'),
 (520, '282'),
 (529, '312'),
 (534, '401'),
 (535, '336'),
*(591, 'prison'),
*(596, 'pants'),
 (614, '313'),
*(626, 'Nowhere Land'),
*(639, 'mikesplace'),
 (641, '108'),
 (656, '315'),
 (704, '292'),
 (737, '131'),
 (800, '121'),
*(813, 'pingpong'),
 (855, '391'),
 (857, '344'),
*(905, 'waterfall'),
 (1044, 'crystal'),
 (1046, '93'),
 (1050, '153'),
*(1057, 'hell'),
 (1072, '277'),
 (1082, '128'),
 (1099, '146'),
 (1145, '98'),
 (1178, '297'),

*(1222, 'Mushroom Kingdom'),
*(1271, '103'),
*(1290, '255'),
*(1314, '43'),
 (1371, '372'),
 (1582, '12'),
*(1610, 'testland'),
*(1634, 'Nogardia'),
 (2023, '156'),
*(2050, 'jjabrams'),
 (2147, '14'),
*(2207, 'et156'), <- pixel crash
 (2688, '152'),
 (3348, '345'),
 (3638, '109'),
*(3796, 'unloquer'), <- pixel crash
 (4047, '338'),
*(4114, 'ping'),
 (4988, 'greyblues'),
 (5736, '346'),
*(6424, 'space'),
*(7292, 'levelbest'),
 (7825, 'homestuck'),
 (9917, 'bob'),
 (12723, 'biscuit'),
*(15890, 'Castle of Awesome'),
 (16749, '347'),
*(19100, 'devlin'),
*(20206, 'Nacho Labs')]




